Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?,Position #,Play?
2017-02-02,Raymond Felton,PG,4600,25.628408991515784,23.3,1,1.0,1.0
2017-02-02,Dennis Schroder,PG,6700,25.628408991515784,8.9,1,1.0,1.0
2017-02-02,JJ Redick,SG,4700,23.77021209740769,27.9,1,2.0,1.0
2017-02-02,Nick Young,SG,4300,23.77021209740769,8.2,1,2.0,1.0
2017-02-02,Davis Bertans,SF,3500,22.829446836700892,25.7,1,3.0,1.0
2017-02-02,Andre Iguodala,SF,4400,22.829446836700892,26.8,1,3.0,1.0
2017-02-02,Blake Griffin,PF,9200,24.82553439913773,48.6,1,4.0,1.0
2017-02-02,Ersan Ilyasova,PF,5700,24.82553439913773,46.0,1,4.0,1.0
2017-02-02,JaVale McGee,C,3500,28.457783733395534,23.6,1,5.0,1.0
